rent,sqft,fitness_center,air_conditioning,in_unit_washer_dryer,laundry_facilities,roof,concierge,pool,elevator,garage,latitude,longitude,dishwasher,dist_transit,dist_wall_street,pets_allowed,beds_times_baths
4000.0,1000.0,1,1,0,1,0,0,0,1,0,40.67355,-73.96143,1,0.17352659381665209,3.4784204632407754,1,4.0
2799.0,1800.0,0,0,1,0,0,0,0,0,0,40.7027,-73.92683,0,0.32335362280731816,4.3789704073462925,1,6.0
2500.0,600.0,0,0,1,0,0,0,0,0,0,40.7027,-73.92683,0,0.32335362280731816,4.3789704073462925,1,2.0
1200.0,80.0,0,1,1,1,0,0,0,0,0,40.67496,-73.94129,1,0.3294586569950918,4.2602774042978755,0,0.0
1260.0,84.0,0,1,1,1,0,0,0,0,0,40.67496,-73.94129,1,0.3294586569950918,4.2602774042978755,0,0.0
1285.0,95.0,0,1,1,1,0,0,0,0,0,40.67496,-73.94129,1,0.3294586569950918,4.2602774042978755,0,0.0
1350.0,134.0,0,1,1,1,0,0,0,0,0,40.67496,-73.94129,1,0.3294586569950918,4.2602774042978755,0,0.0
2300.0,700.0,0,1,0,0,0,0,0,0,0,40.57956,-73.96849,1,0.21596957200329658,9.121766958259483,1,1.0
2835.0,900.0,0,1,0,1,0,0,0,0,0,40.69801,-73.9131,0,0.1564485145927822,5.128672657839761,1,2.0
2500.0,1000.0,0,0,0,0,0,0,0,0,0,40.59433,-73.94393,0,0.5890132085979538,8.570565917307876,0,2.0
5100.0,1100.0,0,0,0,1,0,0,0,0,0,40.68298,-73.99715,0,0.1919796464706813,1.841504474163828,1,6.0
1995.0,969.0,0,0,0,0,0,0,0,0,0,40.69636,-73.97218,0,0.6141162252754631,2.139517394868306,1,1.0
2300.0,1000.0,0,1,0,0,0,0,0,0,0,40.68156,-73.92225,0,0.1667406165199218,4.948143374612935,1,4.5
2599.0,900.0,0,0,0,0,0,0,0,0,0,40.69376,-73.9392,0,0.2919317462865716,3.8408449579113935,1,3.0
3999.0,950.0,0,1,1,1,0,0,0,0,0,40.70758,-73.94593,1,0.2506416482902519,3.364593662460051,1,6.0
2100.0,680.0,0,1,1,0,0,0,0,0,0,40.67404,-73.94014,1,0.34352148004013827,4.345173748980118,1,1.5
2400.0,900.0,0,0,0,0,0,0,0,0,0,40.6919,-73.90479,0,0.2138592130647134,5.627387427170257,1,2.0
2600.0,1000.0,0,0,0,0,0,0,0,0,0,40.6919,-73.90479,0,0.2138592130647134,5.627387427170257,1,3.0
2550.0,1200.0,0,1,0,0,0,0,0,0,0,40.61489,-74.0046,1,0.2183618776556416,6.421759633371998,0,2.0
