rent,beds,baths,sqft,date_available,date_scraped,fitness_center,air_conditioning,in_unit_washer_dryer,laundry_facilities,car_charging,roof,concierge,pool,elevator,garage,income_restrictions,latitude,longitude,zipcode,dishwasher,dist_seattle,dist_transit,neighborhood,pets_allowed,zipcode_id _0.0,zipcode_id _1.0,zipcode_id _2.0,zipcode_id _3.0,zipcode_id _4.0,zipcode_id _5.0
6.856461984594587,0,0.0,5.429345628954441,2022-04-10,2022-04-10,1,1,1,0,0,1,0,0,0,1,0,47.6173,-122.31655,98122,1.0,1.262859345226376,0.1383273114149118,Broadway,1,0,0,0,0,0,1
6.856461984594587,0,0.0,5.429345628954441,2022-04-10,2022-04-10,1,1,1,0,0,1,0,0,0,1,0,47.6173,-122.31655,98122,1.0,1.262859345226376,0.1383273114149118,Broadway,1,0,0,0,0,0,1
6.620073206530356,0,0.0,4.867534450455582,2022-04-10,2022-04-10,1,0,1,0,0,0,0,1,0,0,0,47.60482,-122.31964,98122,1.0,0.72548454952965,0.0578914199477617,Yesler Terrace,0,0,0,0,0,0,1
7.094234845924755,0,0.0,5.204006687076795,2022-04-10,2022-04-10,0,0,0,1,0,1,1,0,1,0,1,47.6182,-122.32713,98122,0.0,1.0492818656678258,0.0368342077991322,Broadway,0,0,0,0,0,0,1
7.1891677384203225,0,0.0,5.402677381872279,2022-04-01,2022-04-01,0,0,0,1,0,1,1,0,1,0,1,47.6182,-122.32713,98122,0.0,1.0492818656678258,0.0368342077991322,Broadway,0,0,0,0,0,0,1
7.374629015218945,0,0.0,5.662960480135946,2022-04-10,2022-04-10,0,0,0,1,0,1,1,0,1,0,1,47.6182,-122.32713,98122,0.0,1.0492818656678258,0.0368342077991322,Broadway,0,0,0,0,0,0,1
6.932447891572509,0,0.0,5.123963979403259,2022-04-21,2022-04-10,0,0,0,1,0,1,1,0,1,0,1,47.6182,-122.32713,98122,0.0,1.0492818656678258,0.0368342077991322,Broadway,0,0,0,0,0,0,1
7.003065458786462,0,0.0,5.545177444479562,2022-04-10,2022-04-10,0,0,0,1,0,1,1,0,1,0,1,47.6182,-122.32713,98122,0.0,1.0492818656678258,0.0368342077991322,Broadway,0,0,0,0,0,0,1
7.2078598714324755,0,0.0,5.579729825986222,2022-04-10,2022-04-10,1,1,0,1,0,1,1,0,1,1,0,47.67293,-122.31769,98115,0.0,4.830720429385861,0.0410142475275613,Roosevelt,0,0,0,0,1,0,0
7.1891677384203225,0,0.0,5.5053315359323625,2022-04-10,2022-04-10,1,1,0,1,0,1,1,0,1,1,0,47.67293,-122.31769,98115,0.0,4.830720429385861,0.0410142475275613,Roosevelt,0,0,0,0,1,0,0
7.170119543449628,0,0.0,5.337538079701318,2022-04-10,2022-04-10,1,1,0,1,0,1,1,0,1,1,0,47.67293,-122.31769,98115,0.0,4.830720429385861,0.0410142475275613,Roosevelt,0,0,0,0,1,0,0
7.003065458786462,0,0.0,5.1298987149230735,2022-04-10,2022-04-10,1,1,0,1,0,1,1,0,1,1,0,47.67293,-122.31769,98115,0.0,4.830720429385861,0.0410142475275613,Roosevelt,0,0,0,0,1,0,0
7.313220387090301,0,0.0,5.713732805509369,2022-04-01,2022-04-01,1,1,0,1,0,1,1,0,1,1,0,47.67293,-122.31769,98115,0.0,4.830720429385861,0.0410142475275613,Roosevelt,0,0,0,0,1,0,0
6.963189985870238,0,0.0,5.4510384535657,2022-05-09,2022-04-10,0,0,0,1,0,0,0,0,0,0,0,47.60589,-122.32768,98104,1.0,0.3721153663249479,0.0996349417554314,First Hill,1,0,0,0,0,0,1
6.953684210870537,0,0.0,5.4510384535657,2022-04-21,2022-04-01,0,0,0,1,0,0,0,0,0,0,0,47.60589,-122.32768,98104,1.0,0.3721153663249479,0.0996349417554314,First Hill,1,0,0,0,0,0,1
