rent,beds,baths,sqft,date_available,date_scraped,fitness_center,air_conditioning,in_unit_washer_dryer,laundry_facilities,car_charging,roof,concierge,pool,elevator,garage,dogs_allowed,cats_allowed,income_restrictions,latitude,longitude,zipcode,dishwasher,price/sqft,dist_seattle,dist_transit,zipcode_cluster_id,neighborhood
3593.0,2,2.0,1099.0,2022-04-22,2022-04-10,1,1,1,0,0,1,0,0,1,1,1,1,0,47.62492,-122.33061,98109,1,3.2693357597816197,1.4600443368407192,0.17658672465710187,5.0,South Lake Union
3485.0,2,2.0,968.0,2022-04-01,2022-04-01,1,1,1,0,0,1,0,0,1,1,1,1,0,47.62492,-122.33061,98109,1,3.600206611570248,1.4600443368407192,0.17658672465710187,5.0,South Lake Union
3632.0,2,2.0,1104.0,2022-04-01,2022-04-01,1,1,1,0,0,1,0,0,1,1,1,1,0,47.62492,-122.33061,98109,1,3.289855072463768,1.4600443368407192,0.17658672465710187,5.0,South Lake Union
2516.0,1,1.0,819.0,2022-05-07,2022-04-10,1,1,1,0,0,1,0,0,1,1,1,1,0,47.62492,-122.33061,98109,1,3.0720390720390722,1.4600443368407192,0.17658672465710187,5.0,South Lake Union
2159.0,1,1.0,591.0,2022-05-11,2022-04-01,1,1,1,0,0,1,0,0,1,1,1,1,0,47.62492,-122.33061,98109,1,3.6531302876480543,1.4600443368407192,0.17658672465710187,5.0,South Lake Union
2298.0,1,1.0,688.0,2022-04-10,2022-04-10,1,1,1,0,0,1,0,0,1,1,1,1,0,47.62492,-122.33061,98109,1,3.3401162790697674,1.4600443368407192,0.17658672465710187,5.0,South Lake Union
3627.0,2,2.0,1099.0,2022-04-05,2022-04-01,1,1,1,0,0,1,0,0,1,1,1,1,0,47.62492,-122.33061,98109,1,3.300272975432211,1.4600443368407192,0.17658672465710187,5.0,South Lake Union
2806.0,1,1.0,926.0,2022-04-10,2022-04-10,1,1,1,0,0,1,0,0,1,1,1,1,0,47.62492,-122.33061,98109,1,3.0302375809935205,1.4600443368407192,0.17658672465710187,5.0,South Lake Union
3454.0,2,2.0,968.0,2022-04-15,2022-04-01,1,1,1,0,0,1,0,0,1,1,1,1,0,47.62492,-122.33061,98109,1,3.5681818181818183,1.4600443368407192,0.17658672465710187,5.0,South Lake Union
3506.0,2,2.0,971.0,2022-04-25,2022-04-10,1,1,1,0,0,1,0,0,1,1,1,1,0,47.62492,-122.33061,98109,1,3.610710607621009,1.4600443368407192,0.17658672465710187,5.0,South Lake Union
2071.0,1,1.0,671.0,2022-05-14,2022-04-01,1,1,1,0,0,1,0,0,1,1,1,1,0,47.62492,-122.33061,98109,1,3.0864381520119224,1.4600443368407192,0.17658672465710187,5.0,South Lake Union
3286.0,2,2.0,913.0,2022-04-01,2022-04-01,1,1,1,0,0,1,0,0,1,1,1,1,0,47.62492,-122.33061,98109,1,3.5991237677984667,1.4600443368407192,0.17658672465710187,5.0,South Lake Union
3530.0,2,2.0,971.0,2022-04-10,2022-04-01,1,1,1,0,0,1,0,0,1,1,1,1,0,47.62492,-122.33061,98109,1,3.635427394438723,1.4600443368407192,0.17658672465710187,5.0,South Lake Union
2298.0,1,1.0,688.0,2022-04-10,2022-04-10,1,1,1,0,0,1,0,0,1,1,1,1,0,47.62492,-122.33061,98109,1,3.3401162790697674,1.4600443368407192,0.17658672465710187,5.0,South Lake Union
2796.0,1,1.0,900.0,2022-04-10,2022-04-10,1,1,1,0,0,1,0,0,1,1,1,1,0,47.62492,-122.33061,98109,1,3.1066666666666665,1.4600443368407192,0.17658672465710187,5.0,South Lake Union
1956.0,1,1.0,528.0,2022-05-20,2022-04-10,1,1,1,0,0,1,0,0,1,1,1,1,0,47.62492,-122.33061,98109,1,3.7045454545454546,1.4600443368407192,0.17658672465710187,5.0,South Lake Union
3530.0,2,2.0,971.0,2022-04-14,2022-04-01,1,1,1,0,0,1,0,0,1,1,1,1,0,47.62492,-122.33061,98109,1,3.635427394438723,1.4600443368407192,0.17658672465710187,5.0,South Lake Union
1600.0,1,1.0,653.0,2022-05-07,2022-04-10,0,0,0,1,0,0,1,0,0,0,1,1,0,47.73272,-122.29471,98125,1,2.450229709035222,9.089845595390631,0.08411709953466984,4.0,Olympic Hills
1430.0,1,1.0,430.0,2022-04-01,2022-04-01,0,0,0,1,0,0,1,0,0,0,1,1,0,47.73272,-122.29471,98125,1,3.3255813953488373,9.089845595390631,0.08411709953466984,4.0,Olympic Hills
1925.0,2,2.0,930.0,2022-04-17,2022-04-10,0,0,0,1,0,0,1,0,0,0,1,1,0,47.73272,-122.29471,98125,1,2.0698924731182795,9.089845595390631,0.08411709953466984,4.0,Olympic Hills
1345.0,0,0.0,445.0,2022-04-01,2022-04-01,0,0,0,1,0,0,1,0,0,0,1,1,0,47.73272,-122.29471,98125,1,3.0224719101123596,9.089845595390631,0.08411709953466984,4.0,Olympic Hills
1600.0,1,1.0,653.0,2022-04-10,2022-04-10,0,0,0,1,0,0,1,0,0,0,1,1,0,47.73272,-122.29471,98125,1,2.450229709035222,9.089845595390631,0.08411709953466984,4.0,Olympic Hills
1600.0,1,1.0,653.0,2022-04-11,2022-04-10,0,0,0,1,0,0,1,0,0,0,1,1,0,47.73272,-122.29471,98125,1,2.450229709035222,9.089845595390631,0.08411709953466984,4.0,Olympic Hills
1600.0,1,1.0,653.0,2022-04-01,2022-04-01,0,0,0,1,0,0,1,0,0,0,1,1,0,47.73272,-122.29471,98125,1,2.450229709035222,9.089845595390631,0.08411709953466984,4.0,Olympic Hills
2000.0,2,2.0,861.0,2022-05-07,2022-04-10,0,0,1,0,0,1,0,0,1,1,1,1,0,47.65989,-122.34699,98103,1,2.3228803716608595,3.8997773571798167,0.12465504099914522,0.0,Fremont
1950.0,2,2.0,860.0,2022-04-10,2022-04-10,0,0,1,0,0,1,0,0,1,1,1,1,0,47.65989,-122.34699,98103,1,2.2674418604651163,3.8997773571798167,0.12465504099914522,0.0,Fremont
1500.0,1,1.0,481.0,2022-04-02,2022-04-01,0,0,1,0,0,1,0,0,1,1,1,1,0,47.65989,-122.34699,98103,1,3.1185031185031185,3.8997773571798167,0.12465504099914522,0.0,Fremont
1375.0,0,0.0,525.0,2022-04-10,2022-04-10,0,0,0,1,0,0,0,0,1,1,1,1,0,47.62766,-122.36516,98119,1,2.619047619047619,2.1496324770793453,0.04453788673806246,0.0,West Queen Anne
1450.0,1,1.0,600.0,2022-04-10,2022-04-10,0,0,0,1,0,0,0,0,1,1,1,1,0,47.62766,-122.36516,98119,1,2.4166666666666665,2.1496324770793453,0.04453788673806246,0.0,West Queen Anne
1575.0,0,0.0,525.0,2022-04-10,2022-04-10,0,0,0,1,0,0,0,0,1,1,1,1,0,47.62766,-122.36516,98119,1,3.0,2.1496324770793453,0.04453788673806246,0.0,West Queen Anne
2100.0,2,2.0,850.0,2022-04-10,2022-04-10,0,0,0,1,0,0,0,0,1,1,1,1,0,47.62766,-122.36516,98119,1,2.4705882352941178,2.1496324770793453,0.04453788673806246,0.0,West Queen Anne
2050.0,1,1.0,700.0,2022-04-10,2022-04-10,0,0,0,1,0,0,0,0,1,1,1,1,0,47.62766,-122.36516,98119,1,2.9285714285714284,2.1496324770793453,0.04453788673806246,0.0,West Queen Anne
