rent,beds,baths,sqft,fitness_center,air_conditioning,in_unit_washer_dryer,laundry_facilities,roof,concierge,pool,elevator,garage,borough,dishwasher,dist_waterfront,pets_allowed,cluster_0.0,cluster_1.0,cluster_2.0,cluster_3.0,cluster_4.0,cluster_5.0,cluster_6.0,cluster_7.0,cluster_8.0,cluster_9.0,cluster_16.0
8.144679183447758,0,0.0,6.295266001439646,0,1,1,0,1,0,1,1,0,Manhattan,1,1.6253776119614327,1,0,1,0,0,0,0,0,0,0,0,0
8.187299270155147,1,1.0,6.522092798170152,0,1,1,0,1,0,1,1,0,Manhattan,1,1.6253776119614327,1,0,1,0,0,0,0,0,0,0,0,0
8.159946655578548,0,0.0,6.684611727667927,0,1,1,0,1,0,1,1,0,Manhattan,1,1.6253776119614327,1,0,1,0,0,0,0,0,0,0,0,0
8.101677747454572,2,1.0,6.476972362889683,0,0,1,0,0,0,0,0,0,Manhattan,1,1.0079624100042488,1,0,0,0,0,0,0,0,1,0,0,0
7.346655163176539,0,0.0,4.948759890378168,0,1,1,0,0,0,1,0,0,Manhattan,1,3.0588726072965375,0,0,0,0,0,1,0,0,0,0,0,0
8.698681067461614,3,1.0,6.907755278982137,0,1,0,0,0,0,0,0,0,Manhattan,1,2.9769239612034424,1,0,0,0,0,0,1,0,0,0,0,0
8.846496938558838,3,2.0,7.170119543449628,0,1,0,0,0,0,0,0,0,Manhattan,1,2.9769239612034424,1,0,0,0,0,0,1,0,0,0,0,0
8.852950887099581,4,2.0,7.2078598714324755,0,1,0,0,0,0,0,0,0,Manhattan,1,2.9769239612034424,1,0,0,0,0,0,1,0,0,0,0,0
8.852950887099581,2,2.0,7.2078598714324755,0,1,0,0,0,0,0,0,0,Manhattan,1,2.9769239612034424,1,0,0,0,0,0,1,0,0,0,0,0
8.507142855562735,2,1.0,6.907755278982137,0,1,0,0,0,0,0,0,0,Manhattan,1,2.9769239612034424,1,0,0,0,0,0,1,0,0,0,0,0
8.922658299524402,0,1.0,6.163314804034641,1,1,1,0,0,1,1,1,0,Manhattan,1,1.4882549427605065,1,0,0,0,1,0,0,0,0,0,0,0
7.899153483343097,1,1.0,6.476972362889683,0,0,0,0,0,0,0,0,0,Manhattan,0,1.3006062087694794,1,0,0,0,0,0,0,0,1,0,0,0
8.574518258035507,3,2.0,6.907755278982137,0,0,1,0,0,0,0,0,0,Manhattan,1,1.8530421734362468,1,0,0,0,0,0,0,0,1,0,0,0
8.294049640102028,2,1.0,6.551080335043404,1,1,0,1,0,1,0,1,0,Manhattan,1,0.9872582744635354,1,0,0,0,0,0,0,1,0,0,0,0
