rent,beds,baths,sqft,fitness_center,air_conditioning,in_unit_washer_dryer,laundry_facilities,car_charging,roof,concierge,pool,garage,income_restrictions,dist_seattle,dist_transit,pets_allowed,zipcode_cluster
7.240649694255466,1,1.0,6.774223886357614,0,0,1,0,0,0,0,0,0,0,5.645079884585313,0.0783887954242373,1,0
7.52294091807237,2,1.0,6.907755278982137,0,0,1,0,0,0,0,0,0,0,5.645079884585313,0.0783887954242373,1,0
7.1891677384203225,2,1.0,6.684611727667927,0,0,0,1,0,0,0,0,0,0,3.007000237692468,0.1197234833217426,0,1
7.3453648404168685,0,0.0,6.212606095751519,0,0,0,1,0,0,0,0,0,0,1.2939089583241157,0.1344324042216881,1,3
7.45298232946546,1,1.0,6.2324480165505225,0,0,1,0,0,0,0,0,0,0,1.2789222995370333,0.1324761290746515,0,3
8.039157390473237,1,1.5,6.803505257608338,0,0,1,0,0,0,0,0,1,0,1.0863904462445662,0.0535219233643418,1,3
7.9355873855892,2,1.0,6.956545443151569,0,0,1,0,0,0,0,0,1,0,2.0842099316301548,0.1664241283105619,1,3
7.9355873855892,2,1.0,6.956545443151569,0,0,1,0,0,0,0,0,1,0,2.0842099316301548,0.1664241283105619,1,3
6.745236349484363,0,0.0,5.003946305945459,0,0,0,1,0,1,0,0,0,1,5.04664873305495,0.1640237303071385,1,1
6.932447891572509,0,0.0,5.356586274672012,0,0,0,1,0,1,0,0,0,1,5.04664873305495,0.1640237303071385,1,1
6.802394763324311,0,0.0,5.19295685089021,0,0,0,1,0,1,0,0,0,1,5.04664873305495,0.1640237303071385,1,1
6.856461984594587,0,0.0,5.135798437050262,0,0,0,1,0,1,0,0,0,1,5.04664873305495,0.1640237303071385,1,1
7.047517221357296,0,0.0,5.3230099791384085,0,0,0,1,0,1,0,0,0,1,5.04664873305495,0.1640237303071385,1,1
7.590852123688581,2,1.0,7.003065458786462,0,0,1,0,0,0,0,0,0,0,4.102672010417121,0.065441055891783,1,0
7.9355873855892,2,1.0,6.946975992135418,0,0,1,0,0,0,0,0,0,0,5.279108042819691,0.1067518246301063,0,1
8.086410275323782,4,1.0,7.630461261783627,0,0,1,0,0,0,0,0,0,0,1.7124634174167088,0.0223127593150643,1,3
8.299037181613066,3,2.0,7.24422751560335,0,0,1,0,0,0,0,0,0,0,2.2305701126010784,0.1086643525938264,0,3
