rent,beds,baths,sqft,fitness_center,air_conditioning,in_unit_washer_dryer,laundry_facilities,car_charging,roof,concierge,pool,elevator,garage,dogs_allowed,cats_allowed,income_restrictions,dishwasher,price/sqft,dist_seattle,dist_transit,cluster_id
1224.0,0,0.0,449.0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,2.7260579064587973,8.860298185014875,0.03970368406041814,9
1562.0,2,2.0,597.0,1,1,1,0,0,0,0,0,1,1,1,1,1,1,2.6164154103852595,8.860298185014875,0.03970368406041814,9
1450.0,0,1.0,325.0,1,0,1,0,0,1,0,0,1,0,1,1,0,0,4.461538461538462,1.0232089326267477,0.037721103876993435,5
1082.0,1,1.0,525.0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,2.060952380952381,8.745377932204265,0.09080204124877465,7
1306.0,1,1.0,563.0,1,0,1,0,0,0,0,0,1,0,1,1,1,1,2.319715808170515,8.745377932204265,0.09080204124877465,7
1300.0,0,0.0,274.0,1,0,0,1,0,0,0,0,0,0,1,1,0,,4.744525547445256,0.5653470097623922,0.04536613791335427,5
1100.0,0,0.0,182.0,1,0,0,1,0,0,0,0,0,0,1,1,0,,6.043956043956044,0.5653470097623922,0.04536613791335427,5
1325.0,0,0.0,275.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,4.818181818181818,6.528981558208693,0.2150726187759852,19
1025.0,0,1.0,225.0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,4.555555555555555,6.91131775517468,0.10381701218361249,19
1600.0,1,1.0,625.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2.56,1.8679197884827163,0.054347384103853,15
1980.0,2,1.0,770.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2.5714285714285716,1.8679197884827163,0.054347384103853,15
1400.0,0,1.0,440.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,3.1818181818181817,1.8679197884827163,0.054347384103853,15
1000.0,0,1.0,192.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,5.208333333333333,1.8679197884827163,0.054347384103853,15
999.0,0,0.0,164.0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,6.091463414634147,2.6519711878089343,0.04595001652758605,10
1119.0,0,0.0,204.0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,5.485294117647059,2.6519711878089343,0.04595001652758605,10
1199.0,0,0.0,240.0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,4.995833333333334,2.6519711878089343,0.04595001652758605,10
1150.0,0,0.0,250.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,4.6,3.7164534997725434,0.052808894839010655,2
1012.0,0,0.0,411.0,1,1,1,0,0,1,0,1,1,0,1,1,0,1,2.462287104622871,3.2557418639708837,0.014288529957311311,2
2095.0,1,1.0,590.0,1,1,1,0,0,1,0,1,1,0,1,1,0,1,3.5508474576271185,3.2557418639708837,0.014288529957311311,2
1495.0,0,0.0,366.0,1,1,1,0,0,1,0,1,1,0,1,1,0,1,4.084699453551913,3.2557418639708837,0.014288529957311311,2
1495.0,0,0.0,360.0,1,1,1,0,0,1,0,1,1,0,1,1,0,1,4.152777777777778,3.2557418639708837,0.014288529957311311,2
1608.0,1,1.0,460.0,1,1,1,0,0,1,0,1,1,0,1,1,0,1,3.4956521739130433,3.2557418639708837,0.014288529957311311,2
2595.0,1,1.0,915.0,1,1,1,0,0,1,0,1,1,0,1,1,0,1,2.8360655737704916,3.2557418639708837,0.014288529957311311,2
1223.0,0,0.0,320.0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,3.821875,0.9326868531719064,0.06426068961383162,14
1282.0,0,0.0,387.0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,3.3126614987080103,0.9326868531719064,0.06426068961383162,14
1045.0,0,0.0,277.0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,3.7725631768953067,0.9326868531719064,0.06426068961383162,14
1080.0,0,0.0,279.0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,3.870967741935484,0.9326868531719064,0.06426068961383162,14
1025.0,1,1.0,501.0,1,0,1,0,1,1,0,0,1,1,1,1,1,1,2.0459081836327346,5.72118667537036,0.11295762779568128,3
1150.0,1,1.0,609.5,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1.8867924528301887,5.72118667537036,0.11295762779568128,3
1250.0,2,1.0,673.5,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1.8559762435040832,5.72118667537036,0.11295762779568128,3
1367.5,2,1.0,788.5,1,0,1,0,1,1,0,0,1,1,1,1,1,1,1.7343056436271402,5.72118667537036,0.11295762779568128,3
1199.0,0,0.0,186.0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,6.446236559139785,0.41553178806472196,0.011388144190284352,22
1344.0,1,1.0,287.0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,4.682926829268292,0.41553178806472196,0.011388144190284352,22
1299.0,1,1.0,298.0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,4.359060402684563,0.41553178806472196,0.011388144190284352,22
1254.0,0,0.0,247.0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,5.076923076923077,0.41553178806472196,0.011388144190284352,22
1162.0,0,0.0,231.0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,5.03030303030303,0.41553178806472196,0.011388144190284352,22
1299.0,1,1.0,298.0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,4.359060402684563,0.41553178806472196,0.011388144190284352,22
1800.0,1,1.0,715.0,1,1,1,0,0,1,0,0,1,1,1,1,0,1,2.5174825174825175,2.974377729296264,0.04653852451288483,11
1754.0,1,1.0,768.0,1,1,1,0,0,1,0,0,1,1,1,1,0,1,2.2838541666666665,2.974377729296264,0.04653852451288483,11
1571.0,1,1.0,650.0,1,1,1,0,0,1,0,0,1,1,1,1,0,1,2.416923076923077,2.974377729296264,0.04653852451288483,11
1754.0,1,1.0,715.0,1,1,1,0,0,1,0,0,1,1,1,1,0,1,2.453146853146853,2.974377729296264,0.04653852451288483,11
1754.0,1,1.0,768.0,1,1,1,0,0,1,0,0,1,1,1,1,0,1,2.2838541666666665,2.974377729296264,0.04653852451288483,11
1754.0,1,1.0,768.0,1,1,1,0,0,1,0,0,1,1,1,1,0,1,2.2838541666666665,2.974377729296264,0.04653852451288483,11
1750.0,1,1.0,715.0,1,1,1,0,0,1,0,0,1,1,1,1,0,1,2.4475524475524475,2.974377729296264,0.04653852451288483,11
1295.0,0,1.0,261.0,1,0,1,0,0,1,0,1,1,0,1,1,0,0,4.961685823754789,5.10741703308422,0.08079823176783589,4
1045.0,0,1.0,177.5,1,0,1,0,0,1,0,1,1,0,1,1,0,0,5.887323943661972,5.10741703308422,0.08079823176783589,4
1099.0,0,0.0,168.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,6.541666666666667,1.5286716432410616,0.1475294645739593,14
1249.0,0,0.0,331.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,3.773413897280967,1.5286716432410616,0.1475294645739593,14
1099.0,0,0.0,176.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,6.244318181818182,1.5286716432410616,0.1475294645739593,14
1224.0,0,0.0,507.0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,2.4142011834319526,0.7821992496133139,0.08713899146015,5
1224.0,0,0.0,416.0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,2.9423076923076925,0.7821992496133139,0.08713899146015,5
1309.0,1,1.0,532.0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,2.460526315789474,0.7821992496133139,0.08713899146015,5
1224.0,0,0.0,427.0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,2.8665105386416863,0.7821992496133139,0.08713899146015,5
1309.0,1,1.0,528.0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,2.4791666666666665,0.7821992496133139,0.08713899146015,5
1562.0,2,2.0,745.0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,2.0966442953020135,0.7821992496133139,0.08713899146015,5
1562.0,2,2.0,745.0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,2.0966442953020135,0.7821992496133139,0.08713899146015,5
1309.0,1,1.0,532.0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,2.460526315789474,0.7821992496133139,0.08713899146015,5
1309.0,1,1.0,532.0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,2.460526315789474,0.7821992496133139,0.08713899146015,5
1224.0,0,0.0,427.0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,2.8665105386416863,0.7821992496133139,0.08713899146015,5
1309.0,1,1.0,532.0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,2.460526315789474,0.7821992496133139,0.08713899146015,5
1562.0,2,2.0,745.0,1,1,1,0,0,0,0,1,1,1,1,1,0,1,2.0966442953020135,0.7821992496133139,0.08713899146015,5
995.0,1,1.0,600.0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.6583333333333334,3.7191573087454946,0.045831412061333524,2
949.0,0,0.0,410.0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,2.3146341463414632,0.9578234568989598,0.05752084383055875,23
949.0,0,0.0,359.0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,2.6434540389972145,0.9578234568989598,0.05752084383055875,23
1224.0,0,0.0,397.0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,3.0831234256926954,0.9578234568989598,0.05752084383055875,23
949.0,0,0.0,410.0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,2.3146341463414632,0.9578234568989598,0.05752084383055875,23
949.0,0,0.0,410.0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,2.3146341463414632,0.9578234568989598,0.05752084383055875,23
949.0,0,0.0,410.0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,2.3146341463414632,0.9578234568989598,0.05752084383055875,23
1224.0,0,0.0,367.0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,3.335149863760218,0.9578234568989598,0.05752084383055875,23
949.0,0,0.0,359.0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,2.6434540389972145,0.9578234568989598,0.05752084383055875,23
1309.0,1,1.0,500.0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,2.618,0.9578234568989598,0.05752084383055875,23
949.0,0,0.0,410.0,1,0,0,1,0,0,1,0,1,1,1,1,1,0,2.3146341463414632,0.9578234568989598,0.05752084383055875,23
1050.0,0,1.0,300.0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,3.5,1.1609246508198334,0.05814554972873239,20
995.0,0,0.0,202.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,4.925742574257426,5.23719719709609,0.0465092352155562,4
995.0,0,0.0,202.0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,4.925742574257426,5.23719719709609,0.0465092352155562,4
1125.0,1,1.0,1100.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,1.0227272727272727,0.44770127560907497,0.03871331667618635,5
1050.0,0,1.0,390.0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,2.6923076923076925,0.44770127560907497,0.03871331667618635,5
1793.0,3,3.0,1190.0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1.5067226890756302,7.061593015024795,0.08083720335111783,3
1793.0,3,3.0,1423.0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1.2600140548137737,7.061593015024795,0.08083720335111783,3
1306.0,1,1.0,670.0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1.9492537313432836,7.061593015024795,0.08083720335111783,3
1306.0,1,1.0,897.0,1,0,1,0,0,0,0,1,1,1,1,1,1,1,1.455964325529543,7.061593015024795,0.08083720335111783,3
1095.0,0,1.0,300.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3.65,7.181262323968576,0.19017635295327895,1
1100.0,0,1.0,400.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,2.75,9.649193840291565,0.04886904579710441,7
1225.0,0,0.0,209.0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,5.861244019138756,1.744394522359605,0.17731518427290632,13
1275.0,0,0.0,234.0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,5.448717948717949,1.744394522359605,0.17731518427290632,13
972.5,0,1.0,200.0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,4.8625,1.4165233098612,0.25272601766186653,23
1050.0,1,1.0,200.0,1,0,1,0,0,0,0,0,0,0,1,1,0,1,5.25,5.218108541755373,0.16553313560429078,16
1198.0,0,0.0,283.0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,4.23321554770318,5.367609046258646,0.051494130411109645,18
1295.0,0,0.0,280.0,1,0,0,1,0,1,0,0,1,0,1,1,0,0,4.625,5.367609046258646,0.051494130411109645,18
